<b>Company</b> is a mandatory filter.,<b>Компани</b> бол заавал шүүлтүүр юм.,
<b>Example:</b> SAL-{first_name}-{date_of_birth.year} <br>This will generate a password like SAL-Jane-1972,<b>Жишээ нь:</b> SAL-{first_name}-{date_of_birth.year} <br>Энэ нь SAL-Jane-1972 шиг нууц үг үүсгэх болно,
<b>From Date</b> is a mandatory filter.,<b>Огноо</b> нь заавал шүүлтүүр юм.,
<b>From Time</b> cannot be later than <b>To Time</b> for {0},<b>Цагаас</b> {0}-н хувьд <b>Хүртэл</b>-ээс хойш байж болохгүй.,
"<b>Single</b>: Results which require only a single input.
<br>
<b>Compound</b>: Results which require multiple event inputs.
<br>
<b>Descriptive</b>: Tests which have multiple result components with manual result entry.
<br>
<b>Grouped</b>: Test templates which are a group of other test templates.
<br>
<b>No Result</b>: Tests with no results, can be ordered and billed but no Lab Test will be created. e.g.. Sub Tests for Grouped results","<b>Ганц</b>: Зөвхөн нэг оролт шаарддаг илэрцүүд.
<br>
<b>Нэгдэл</b>: Олон үйл явдлын оролт шаардлагатай үр дүн.
<br>|| |<b>Тодорхойлох</b>: Гараар үр дүнг оруулах олон үр дүнгийн бүрэлдэхүүн хэсэгтэй тестүүд.
<br>
<b>Бүлэглэсэн</b>: Бусад тестийн загваруудын бүлэг болох тестийн загварууд. 
<br>
<b>Үр дүн гарахгүй</b>: Үр дүнгүй туршилтуудыг захиалж, нэхэмжлэх боломжтой боловч лабораторийн шинжилгээ үүсгэхгүй. жишээ нь. Бүлэглэсэн үр дүнгийн дэд тестүүд",
<b>To Date</b> is a mandatory filter.,<b>Одоог хүртэл</b> нь заавал шүүлтүүр юм.,
"<br>
<h4>Note</h4>
<ul>
<li>
You can use <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">Jinja tags</a> in <b>Subject</b> and <b>Body</b> fields for dynamic values.
</li><li>
    All fields in this doctype are available under the <b>doc</b> object and all fields for the customer to whom the mail will go to is available under the  <b>customer</b> object.
</li></ul>
<h4> Examples</h4>
<!-- {% raw %} -->
<ul>
    <li><b>Subject</b>:<br><br><pre><code>Statement Of Accounts for {{ customer.name }}</code></pre><br></li>
    <li><b>Body</b>: <br><br>
<pre><code>Hello {{ customer.name }},<br>PFA your Statement Of Accounts from {{ doc.from_date }} to {{ doc.to_date }}.</code> </pre></li>
</ul>
<!-- {% endraw %} -->","<br>
<h4>Тэмдэглэл</h4>
<ul>
<li>
Та <a href=""https://jinja.palletsprojects.com/en/2.11""-г ашиглаж болно. .x/"" target=""_blank"">Jinja шошго</a> нь <b>Сэдвийн</b> болон <b>Их бие</b> талбарт динамик утгуудын хувьд.
</li><li>| || Энэ баримт бичгийн төрөл дэх бүх талбарыг <b>doc</b> объектын доор ашиглах боломжтой бөгөөд захидал илгээх харилцагчийн бүх талбарыг <b>хэрэглэгч</b> объектын доор ашиглах боломжтой.||</b> li></ul>
<h4> Жишээ</h4>
<!-- {% түүхий %} -->
<ul>
 <li><b>Гарчиг</b>:<br><br><pre><code>{{ customer.name }}</code></pre><br></li>-н дансны тайлан 
 <li><b>Их бие</b>: <br><br>
<pre><code>Сайн уу {{ customer.name }},<br>PFA таны дансны хуулга {{ doc.from_date }} хүртэл {{ doc.to_date }}.</code> </pre></li>
</ul>
<!-- {% endraw %} -->",
"<div class=""columnHeading"">Other Details</div>","<div class=""columnHeading"">Бусад дэлгэрэнгүй</div>",
"<div class=""text-muted text-center"">No Matching Bank Transactions Found</div>","<div class=""text-muted text-center"">Тохирох банкны гүйлгээ олдсонгүй</div>",
"<div class=""well"">
Edit list of Series in the box below. Rules:
<ul>
<li>Each Series Prefix on a new line.</li>
<li>Allowed special characters are ""/"" and ""-""</li>
<li>Optionally, set the number of digits in the series using dot (.) followed by hashes (#). For example, "".####"" means that the series will have four digits. Default is five digits.</li>
</ul>
Examples:<br>
INV-<br>
INV-10-<br>
INVK-<br>
INV-.####<br>
</div>","<div class=""well"">
Доорх нүдэн дэх цувралын жагсаалтыг засна уу. Дүрэм:
<ul>
<li>Цуврал тус бүрийг шинэ мөрөнд угтвар.</li>
<li>Зөвшөөрөгдсөн тусгай тэмдэгтүүд нь ""/"" ба ""-""</li>
 <li>Заавал цувралын цифрүүдийн тоог цэг (.) дараа нь хэш (#) ашиглан тохируулна уу. Жишээлбэл, "".####"" нь цуврал дөрвөн оронтой болно гэсэн үг юм. Өгөгдмөл нь таван оронтой байна.</li>
</ul>
Жишээ нь:<br>
INV-<br>
INV-10-<br>
INVK-<br> 
INV-.####<br>
</div>",
"<div>
<h3> All dimensions in centimeter only </h3>
</div>","<div>
<h3> Бүх хэмжээсүүд зөвхөн сантиметрээр </h3>
</div>",
"<h4>Condition Examples</h4>
<ol>
<li>Applying tax if employee born between 31-12-1937 and 01-01-1958 (Employees aged 60 to 80)<br>
<code>Condition: date_of_birth&gt;date(1937, 12, 31) and date_of_birth&lt;date(1958, 01, 01)</code></li><br><li>Applying tax by employee gender<br>
<code>Condition: gender==""Male""</code></li><br>
<li>Applying tax by Salary Component<br>
<code>Condition: base &gt; 10000</code></li></ol>","<h4>Нөхцөл байдлын жишээ</h4>
<ol>
<li>1937-31-12-аас 1958-01-01-ний хооронд төрсөн ажилтан (60-80 насны ажилчид) бол татвар ногдуулах тухай<br>|| |<code>Нөхцөл: төрсөн_огноо&gt;огноо(1937, 12, 31) ба төрсөн_огноо&lt;огноо(1958, 01, 01)</code></li><br><li>Ажилтны хүйсээр татвар ногдуулах<br>| ||<code>Нөхцөл: gender==""Эрэгтэй""</code></li><br>
<li>Цалингийн бүрэлдэхүүнээр татвар ногдуулах<br>
<code>Нөхцөл байдал: суурь &gt; 10000</code></li></ol>",
"<h5 class=""text-muted uppercase"">Or</h5>","<h5 class=""text-muted uppercase"">Эсвэл</h5>",
"<label class=""control-label"" style=""margin-bottom: 0px;"">Account Number Settings</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">Бүртгэлийн дугаарын тохиргоо</label>",
"<label class=""control-label"" style=""margin-bottom: 0px;"">Amount In Words</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">Үгээр илэрхийлсэн дүн</label>",
"<label class=""control-label"" style=""margin-bottom: 0px;"">Date Settings</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">Огнооны тохиргоо</label>",
"<p><strong>Condition Examples:</strong></p>
<pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000
</pre>","<p><strong>Нөхцөл байдлын жишээ:</strong></p>
<pre>doc.status==""Open""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000
</pre>",
A BOM with name {0} already exists for item {1}.,{1} зүйлд {0} нэртэй BOM аль хэдийн байна.,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,Ижил нэртэй Хэрэглэгчийн бүлэг бий. Хэрэглэгчийн нэрийг өөрчлөх эсвэл Хэрэглэгчийн бүлгийн нэрийг өөрчилнө үү,
A Default Service Level Agreement already exists.,Үйлчилгээний түвшний анхдагч гэрээ аль хэдийн байна.,
A Distributed Cost Center cannot be added in the Distributed Cost Center allocation table.,Түгээсэн зардлын төвийг хуваарилах хүснэгтэд нэмэх боломжгүй.,
A GSTIN must have 15 characters.,GSTIN нь 15 тэмдэгттэй байх ёстой.,
A Lead requires either a person's name or an organization's name,Удирдагч нь хүний нэр эсвэл байгууллагын нэрийг шаарддаг,
A Negative,Сөрөг,
A Positive,Эерэг,
"A Product or a Service that is bought, sold or kept in stock.","Худалдан авсан, худалдсан эсвэл нөөцөд хадгалагдаж буй бүтээгдэхүүн, үйлчилгээ.",
A condition for a Shipping Rule,Тээвэрлэлтийн дүрмийн нөхцөл,
A customer is already linked to this Member,Үйлчлүүлэгч энэ гишүүнтэй аль хэдийн холбогдсон байна,
A customer must have primary contact email.,Үйлчлүүлэгч үндсэн холбоо барих имэйлтэй байх ёстой.,
A customer with the same name already exists,Ижил нэртэй үйлчлүүлэгч аль хэдийн байна,
A friendly reminder of an important date for our team.,Манай багийн хувьд чухал болзооны тухай нөхөрсөг сануулга.,
A link to all the Locations in which the Crop is growing,Газар тариалан ургаж буй бүх байршлын холбоос,
A logical Warehouse against which stock entries are made.,Агуулахын бичилт хийх логик агуулах.,
A name by which you will identify this template. You can change this later.,Энэ загварыг таних нэр. Та үүнийг дараа өөрчилж болно.,
A new appointment has been created for you with {0},Танд {0}-тэй шинэ уулзалт товлоод байна.,
A question must have more than one options,Асуултанд нэгээс олон сонголт байх ёстой,
A qustion must have at least one correct options,Асуултанд дор хаяж нэг зөв сонголт байх ёстой,
A template with tax category {0} already exists. Only one template is allowed with each tax category,{0} татварын ангилалтай загвар аль хэдийн байна. Татварын ангилал бүрт зөвхөн нэг загвар ашиглахыг зөвшөөрдөг,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,Компанийн бүтээгдэхүүнийг шимтгэлээр зардаг гуравдагч талын борлуулагч / дилер / комиссын төлөөлөгч / түнш / борлуулагч.,
A {0} exists between {1} and {2} (,{1} болон {2} хооронд {0} байна (,
A+,A+,
A-,А-,
A4,А4,
AB Negative,AB сөрөг,
AB Positive,AB эерэг,
AB+,AB+,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-CF-.YYYY.-,ACC-CF-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AE,А.Е,
AGE,НАС,
AMC Expiry Date,AMC дуусах огноо,
API,API,
API Endpoint,API төгсгөлийн цэг,
API Key,API түлхүүр,
API Secret Key,API нууц түлхүүр,
API Token,API токен,
API consumer key,API хэрэглэгчийн түлхүүр,
API consumer secret,API хэрэглэгчийн нууц,
AU,AU,
AWB Number,AWB дугаар,
AWS Access Key ID,AWS хандалтын түлхүүр ID,
Abbr,Хураангуй,
Abbreviation,Товчлол,
Abbreviation already used for another company,Өөр компанид аль хэдийн ашигласан товчлол,
Abbreviation cannot have more than 5 characters,Товчлол нь 5 тэмдэгтээс илүү байж болохгүй,
Abbreviation is mandatory,Товчлол нь заавал байх ёстой,
Abdomen,Хэвлий,
About,тухай,
About the Company,Компанийн тухай,
About your company,Танай компанийн тухай,
About {0} minute remaining,Ойролцоогоор {0} минут үлдлээ,
About {0} minutes remaining,Ойролцоогоор {0} минут үлдлээ,
About {0} seconds remaining,Ойролцоогоор {0} секунд үлдлээ,
Above,Дээр,
Absent,Байхгүй,
Absent Days,Эзгүй өдрүүд,
Absent Student Report,Сурагчийн ирээгүй тайлан,
Academic,Академик,
Academic Term,Эрдмийн хугацаа,
Academic Term and Program,"Эрдмийн хугацаа, хөтөлбөр",
Academic Term: ,Akademik atamalar:,
Academic Year,Хичээлийн жил,
Academic Year Name,Хичээлийн жилийн нэр,
Academic Year: ,O&#39;quv yil:,
Academics User,Академик хэрэглэгч,
Acceptance Criteria Formula,Хүлээн авах шалгуурын томъёо,
Acceptance Criteria Value,Хүлээн авах шалгуур үнэ цэнэ,
Accepted,Хүлээн зөвшөөрсөн,
Accepted Qty,Хүлээн авсан тоо,
Accepted Qty in Stock UOM,Stok UOM-д хүлээн зөвшөөрөгдсөн тоо хэмжээ,
Accepted Quantity,Зөвшөөрөгдсөн тоо хэмжээ,
Accepted Warehouse,Хүлээн зөвшөөрөгдсөн агуулах,
Access Token,Токен руу нэвтрэх,
Access Token Secret,Токен нууцад нэвтрэх,
Accessable Value,Боломжит үнэ цэнэ,
Account,Данс,
Account Balance,Дансны үлдэгдэл,
Account Balance Processing Error,Дансны үлдэгдэл боловсруулах алдаа,
Account Currency,Дансны валют,
Account Details,дансны дэлгэрэнгүй,
Account Head,Дансны дарга,
Account Info,Дансны мэдээлэл,
Account Manager,Данс менежер,
Account Missing,Бүртгэл дутуу,
Account Name,Дансны нэр,
Account No,Дансны дугаар,
Account Not Found,Бүртгэл олдсонгүй,
Account Number,Дансны дугаар,
Account Number Length,Дансны дугаарын урт,
Account Number {0} already used in account {1},Дансны дугаар {0}-г {1} бүртгэлд аль хэдийн ашигласан,
Account Opening Balance,Дансны нээлхийн үлдэгдэл,
Account Paid From,Данс төлсөн,
Account Paid To,Данс төлсөн,
Account Pay Only,Зөвхөн дансны төлбөр,
Account SID,Дансны SID,
Account Subtype,Дансны дэд төрөл,
Account Type,Дансны төрөл,
Account Type for {0} must be {1},{0}-н бүртгэлийн төрөл {1} байх ёстой,
Account Value,Дансны үнэ цэнэ,
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","Дансны үлдэгдэл аль хэдийн кредитэд байгаа тул та ""Үлдэгдэл байх ёстой"" гэснийг ""Дебит"" гэж тохируулах эрхгүй.",
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","Дансны үлдэгдэл аль хэдийн дебитэд байгаа тул та ""Үлдэгдэл байх ёстой"" гэснийг ""Кредит"" гэж тохируулахыг зөвшөөрөхгүй.",
Account for Change Amount,Өөрчлөлтийн дүнгийн данс,
Account for accepting donation payments,Хандивын төлбөр хүлээн авах данс,
Account for accepting membership payments,Гишүүнчлэлийн төлбөр хүлээн авах данс,
Account is mandatory to get payment entries,Төлбөрийн бүртгэлийг авахын тулд данс заавал байх ёстой,
Account is not set for the dashboard chart {0},Хяналтын самбарын графикт бүртгэл тохируулаагүй байна {0},
Account not Found,Бүртгэл олдсонгүй,
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,{0} бүртгэлийн дансны дугаар байхгүй байна.<br> Бүртгэлийн схемээ зөв тохируулна уу.,
Account with child nodes cannot be converted to ledger,Хүүхдийн зангилаатай дансыг дэвтэр рүү хөрвүүлэх боломжгүй,
Account with child nodes cannot be set as ledger,Хүүхдийн зангилаатай дансыг дэвтэр болгон тохируулах боломжгүй,
Account with existing transaction can not be converted to group.,Одоо байгаа гүйлгээтэй дансыг бүлэгт хөрвүүлэх боломжгүй.,
Account with existing transaction can not be deleted,Одоо байгаа гүйлгээтэй дансыг устгах боломжгүй,
Account with existing transaction cannot be converted to ledger,Одоо байгаа гүйлгээтэй дансыг дэвтэр рүү хөрвүүлэх боломжгүй,
Account {0} already exists. Please enter a different name for your bank account.,{0} бүртгэл аль хэдийн байна. Банкны дансандаа өөр нэр оруулна уу.,
Account {0} appears multiple times,{0} бүртгэл олон удаа гарч ирнэ,
Account {0} does not belong to company {1},{0} бүртгэл нь {1} компанид харьяалагддаггүй,
Account {0} does not belong to company: {1},{0} бүртгэл нь компанид харьяалагддаггүй: {1},
Account {0} does not belongs to company {1},{0} бүртгэл нь {1} компанид харьяалагддаггүй,
Account {0} does not exist,{0} бүртгэл байхгүй байна,
Account {0} does not exists,{0} бүртгэл байхгүй байна,
Account {0} does not exists in the dashboard chart {1},{0} бүртгэл хяналтын самбарын графикт {1} байхгүй байна,
Account {0} does not match with Company {1} in Mode of Account: {2},Бүртгэлийн горим дахь {0} бүртгэл нь {1} компанитай таарахгүй байна: {2},
Account {0} exists in parent company {1}.,{1} толгой компанид {0} бүртгэл байна.,
Account {0} has been entered multiple times,{0} бүртгэлийг олон удаа оруулсан,
Account {0} is added in the child company {1},{0} бүртгэлийг {1} хүүхдийн компанид нэмсэн,
Account {0} is frozen,{0} бүртгэлийг царцаасан,
Account {0} is invalid. Account Currency must be {1},{0} бүртгэл хүчингүй байна. Дансны валют нь {1} байх ёстой,
Account {0}: Parent account {1} can not be a ledger,Бүртгэл {0}: Эцэг эхийн данс {1} нь дэвтэр байж болохгүй,
Account {0}: Parent account {1} does not belong to company: {2},Бүртгэл {0}: Эцэг эхийн бүртгэл {1} нь компанид харьяалагддаггүй: {2},
Account {0}: Parent account {1} does not exist,Бүртгэл {0}: Эцэг эхийн бүртгэл {1} байхгүй байна,
Account {0}: You can not assign itself as parent account,Бүртгэл {0}: Та өөрийгөө эцэг эхийн бүртгэлээр томилох боломжгүй,
Account: <b>{0}</b> is capital Work in progress and can not be updated by Journal Entry,Бүртгэл: <b>{0}</b> нь үндсэн ажил хийгдэж байгаа бөгөөд журналын бүртгэлээр шинэчлэх боломжгүй,
Account: {0} can only be updated via Stock Transactions,Данс: {0}-г зөвхөн хувьцааны гүйлгээгээр шинэчлэх боломжтой,
Account: {0} does not exist,Бүртгэл: {0} байхгүй байна,
Account: {0} is not permitted under Payment Entry,Бүртгэл: {0} Төлбөрийн бүртгэлд зөвшөөрөгдөөгүй,
Account: {0} with currency: {1} can not be selected,Данс: {0} валюттай: {1}-г сонгох боломжгүй,
Accountant,Нягтлан бодогч,
Accounting,Нягтлан бодох бүртгэл,
Accounting Details,Нягтлан бодох бүртгэлийн дэлгэрэнгүй мэдээлэл,
Accounting Dimension,Нягтлан бодох бүртгэлийн хэмжээ,
Accounting Dimension <b>{0}</b> is required for 'Balance Sheet' account {1}.,Нягтлан бодох бүртгэлийн хэмжээс <b>{0}</b> нь 'Баланс' дансны {1}-д шаардлагатай.,
Accounting Dimension <b>{0}</b> is required for 'Profit and Loss' account {1}.,"Нягтлан бодох бүртгэлийн хэмжээс <b>{0}</b> нь 'Ашиг, алдагдал' дансны {1}-д шаардлагатай.",
Accounting Dimension Detail,Нягтлан бодох бүртгэлийн хэмжээсийн дэлгэрэнгүй,
Accounting Dimension Filter,Нягтлан бодох бүртгэлийн хэмжээсийн шүүлтүүр,
Accounting Dimensions,Нягтлан бодох бүртгэлийн хэмжээсүүд,
Accounting Dimensions ,Buxgalteriya o&#39;lchamlari,
Accounting Entries,Нягтлан бодох бүртгэлийн бичилтүүд,
Accounting Entry for Asset,Хөрөнгийн нягтлан бодох бүртгэлийн бичилт,
Accounting Entry for Service,Үйлчилгээний нягтлан бодох бүртгэлийн бичилт,
Accounting Entry for Stock,Агуулахын нягтлан бодох бүртгэлийн бичилт,
Accounting Entry for {0}: {1} can only be made in currency: {2},{0}-н нягтлан бодох бүртгэлийн бичилт: {1}-г зөвхөн валютаар хийх боломжтой: {2},
Accounting Ledger,Нягтлан бодох бүртгэлийн дэвтэр,
Accounting Period,Нягтлан бодох бүртгэлийн хугацаа,
Accounting Period overlaps with {0},Нягтлан бодох бүртгэлийн хугацаа {0}-тэй давхцаж байна,
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,Нягтлан бодох бүртгэлийн бичилтүүдийг энэ өдрийг хүртэл царцаасан. Доор заасан үүрэг бүхий хэрэглэгчээс өөр хэн ч оруулгуудыг үүсгэх эсвэл өөрчлөх боломжгүй,
Accounts,Дансууд,
Accounts Frozen Till Date,Огноо хүртэл царцаасан дансууд,
Accounts Manager,Бүртгэлийн менежер,
Accounts Payable,Дансны өглөг,
Accounts Payable Summary,Дансны өглөгийн хураангуй,
Accounts Receivable,Дансны авлага,
Accounts Receivable Credit Account,Дансны авлагын зээлийн данс,
Accounts Receivable Discounted Account,Дансны авлагын хөнгөлөлттэй данс,
Accounts Receivable Summary,Дансны авлагын хураангуй,
Accounts Receivable Unpaid Account,Дансны авлагын төлөөгүй данс,
Accounts Settings,Бүртгэлийн тохиргоо,
Accounts User,Бүртгэлийн хэрэглэгч,
Accounts table cannot be blank.,Дансны хүснэгт хоосон байж болохгүй.,
Accrual Journal Entry for salaries from {0} to {1},{0}-с {1} хүртэлх цалингийн аккруэл журналын бичилт,
Accrual Type,Аккруэл төрөл,
Accrued Interest,Хуримтлагдсан хүү,
Accumulated Depreciation,Хуримтлагдсан элэгдэл,
Accumulated Depreciation Account,Хуримтлагдсан элэгдлийн данс,
Accumulated Depreciation Amount,Хуримтлагдсан элэгдлийн дүн,
Accumulated Depreciation as on,Хуримтлагдсан элэгдлийн,
Accumulated Monthly,Сар бүр хуримтлагдсан,
Accumulated Values,Хуримтлагдсан үнэ цэнэ,
Accumulated Values in Group Company,Групп компанид хуримтлагдсан үнэ цэнэ,
Achieved ({}),Хүрсэн ({}),
Achievement,Амжилт,
Acquisition Date,Худалдан авсан огноо,
Action,Үйлдэл,
Action If Quality Inspection Is Not Submitted,Чанарын хяналт шалгалтыг ирүүлээгүй тохиолдолд авах арга хэмжээ,
Action If Quality Inspection Is Rejected,Чанарын хяналт шалгалтаас татгалзсан тохиолдолд авах арга хэмжээ,
Action If Same Rate is Not Maintained,Ижил ханшийг хадгалахгүй бол авах арга хэмжээ,
Action Initialised,Үйлдэл эхлүүлсэн,
Action if Accumulated Monthly Budget Exceeded on Actual,Хуримтлагдсан сар бүрийн төсөв бодит байдлаас хэтэрсэн тохиолдолд авах арга хэмжээ,
Action if Accumulated Monthly Budget Exceeded on MR,MR дээр хуримтлагдсан сарын төсөв хэтэрсэн тохиолдолд авах арга хэмжээ,
Action if Accumulated Monthly Budget Exceeded on PO,PO-д хуримтлагдсан сарын төсөв хэтэрсэн тохиолдолд авах арга хэмжээ,
Action if Annual Budget Exceeded on Actual,Жилийн төсөв бодитоор хэтэрсэн тохиолдолд авах арга хэмжээ,
Action if Annual Budget Exceeded on MR,MR дээр жилийн төсөв хэтэрсэн тохиолдолд авах арга хэмжээ,
Action if Annual Budget Exceeded on PO,Жилийн төсөв PO-оос хэтэрсэн тохиолдолд авах арга хэмжээ,
Action if Same Rate is Not Maintained Throughout Sales Cycle,Борлуулалтын мөчлөгийн туршид ижил хувь хэмжээ хадгалагдаагүй тохиолдолд авах арга хэмжээ,
Actions,Үйлдлүүд,
Actions performed,Гүйцэтгэсэн үйлдлүүд,
Active,Идэвхтэй,
Active Assist,Идэвхтэй туслах,
Active Leads,Идэвхтэй удирдагчид,
Active Menu,Идэвхтэй цэс,
Activities,Үйл ажиллагаа,
Activity,Үйл ажиллагаа,
Activity Cost,Үйл ажиллагааны зардал,
Activity Cost exists for Employee {0} against Activity Type - {1},Ажилтны үйл ажиллагааны зардал {0}-н үйл ажиллагааны төрлөөс хамаарч байгаа - {1},
Activity Cost per Employee,Нэг ажилтанд ногдох үйл ажиллагааны зардал,
